id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19763851,Cc,136965165,Louise,,Norrmalms,59.33565,18.05251,Entire home/apt,,2,17,2018-10-07,0.20,1,0,0,
19764284,Family townhouse close to Stockholm City & nature,4157233,Brian,,Bromma,59.35549,17.90651,Entire home/apt,1600,4,12,2022-07-31,0.14,1,17,0,
19776861,Close to inner city. Big kitchen and nice view.,70942841,Apartment In Bromma,,Bromma,59.33372884003331,17.947358125160857,Entire home/apt,1071,4,153,2024-06-26,1.83,8,170,18,
19794040,Cosy appartment close to city centre,17168257,Funda,,Södermalms,59.3059,18.10608,Entire home/apt,1122,4,22,2024-05-20,0.26,1,6,4,
19798597,Home sweet home,109595810,Vasile,,Kungsholmens,59.33421,18.02752,Entire home/apt,850,5,6,2023-05-07,0.08,1,333,0,
19816010,Breakfast paradise City Stockholm,3572655,Sara,,Norrmalms,59.34653,18.05981,Private room,1200,3,115,2024-06-23,1.41,1,150,29,
19832124,"Lovely apartment , only 17 min from city!",39156016,Johan,,Rinkeby-Tensta,59.41642,17.91112,Entire home/apt,,14,2,2017-09-14,0.02,1,0,0,
19862927,Charming old house 10 min from Stockholm city,2123649,Anna-Maria,,Skarpnäcks,59.2838,18.0981,Entire home/apt,2499,3,0,,,1,14,0,
19889838,Älvsjö Villa next to Stockholm Fair & City,7267191,Ann,,Älvsjö,59.27996,18.00573,Entire home/apt,,4,35,2024-06-13,0.42,1,1,9,
19893102,Mysig studio på trendiga Södermalm!,140505716,Gustav,,Södermalms,59.3174,18.04499,Shared room,,1,0,,,1,0,0,
19898845,"Live central, close to Rålis and the water",65193438,Sandra,,Kungsholmens,59.32946,18.03234,Private room,,1,27,2024-05-21,0.32,1,0,3,
19919030,Private room for a female,95076982,Karolina,,Hässelby-Vällingby,59.36832,17.83289,Private room,,1,36,2021-11-21,0.43,1,0,0,
19921799,2 room apartment + balcony in fantastic Hornstull,30722410,Rebecca,,Södermalms,59.31787,18.02728,Entire home/apt,,2,13,2023-01-27,0.15,1,0,0,
19940048,DÈLICE Old Town,98254434,Robert O Yasmin,,Södermalms,59.32567,18.07516,Entire home/apt,2800,2,351,2024-06-19,4.28,5,279,57,
19958653,PERFEKT BOENDE! NÄRA TILL CITY OCH NATUROMRÅDEN,85349033,Madlén,,Hägersten-Liljeholmens,59.29987,17.99012,Entire home/apt,450,2,8,2019-05-04,0.10,1,97,0,
19975953,ETAGE Old Town,98254434,Robert O Yasmin,,Södermalms,59.32466,18.07407,Entire home/apt,3360,2,260,2024-06-15,3.17,5,287,49,
20032763,SOFO studio (20m from subway),56885529,Christoffer,,Södermalms,59.30862,18.07431,Entire home/apt,2000,2,21,2024-05-19,0.25,1,174,1,
20038562,~10 min walk to beach & inner city,122042761,Suzanne,,Kungsholmens,59.33494,18.03112,Private room,,365,48,2020-03-21,0.58,1,363,0,
20039225,Fluffy Dog+Lux Apt Very Central(ROOM TWO),1293314,Tommy,,Kungsholmens,59.33312,18.04513,Private room,716,1,493,2024-06-19,6.03,2,271,79,
20083733,Årsta Stockholm,142778332,Rubén Roberto,,Enskede-Årsta-Vantörs,59.29466,18.04665,Shared room,900,1,28,2024-05-18,0.33,1,364,1,
20133634,Pool villa in Stockholm,143152219,Per,,Hässelby-Vällingby,59.37616,17.81785,Entire home/apt,,2,3,2021-07-16,0.04,1,0,0,
20150851,Spacious and beautiful Villa,124894928,Nadeem,,Hässelby-Vällingby,59.38105520000001,17.829724,Entire home/apt,2386,1,2,2024-06-02,1.40,1,87,2,
20156417,Rum i  Älvsjö,99256461,Jenny,,Älvsjö,59.27343,17.99547,Private room,870,2,4,2024-06-02,0.43,1,64,4,
20262189,Central apartment in Stockholm,35357730,Rebecca,,Kungsholmens,59.33482,18.03702,Entire home/apt,,1,11,2024-02-24,0.15,1,0,2,
20264211,Close to the center,144446350,Linda,,Norrmalms,59.34549,18.03952,Private room,,21,0,,,1,0,0,
20302404,Newly built luxury house near Stockholm City,42609885,John,,Älvsjö,59.2742,17.96448,Entire home/apt,4000,3,0,,,1,263,0,
20314102,Apartment located in the city,144923005,Jason,,Södermalms,59.31482,18.08702,Entire home/apt,,2,15,2019-07-17,0.18,2,0,0,
20328167,Central Stockholm and Free Airport Pick-Up,80834734,Sophia,,Östermalms,59.34636,18.09626,Entire home/apt,2429,2,329,2024-06-28,3.94,1,259,28,
20359206,Conveniently close to city guestroom,145217681,Johan,,Kungsholmens,59.33543,18.03371,Private room,411,2,358,2024-06-24,4.29,1,24,69,
20399072,500 year old house next to Royal Palace,1027549,William,,Södermalms,59.324009416974036,18.06847123813627,Entire home/apt,1800,1,375,2024-06-17,4.57,19,329,80,
20436363,Studio apartment in central Stockholm,61931466,Daniel,,Södermalms,59.30234,18.09896,Entire home/apt,1921,2,68,2024-04-28,0.81,1,65,9,
20436840,Exclusive apt 100sqm at great location in Vasastan,9288710,Gustaf,,Norrmalms,59.3426,18.06035,Entire home/apt,4914,6,44,2024-05-20,0.53,1,301,4,
20462705,"Cosy 2 room apartment, with a balcony & sea-view!",14040373,Isabel,,Södermalms,59.316017150878906,18.029813766479492,Entire home/apt,1200,3,28,2024-05-30,0.34,1,299,3,
20531912,"3 room apartment. Green area, close to inner city.",70942841,Apartment In Bromma,,Bromma,59.33391,17.94692,Entire home/apt,1143,4,228,2024-06-29,2.74,8,52,24,
20533411,Green area with a nice view. Balcony.,70942841,Apartment In Bromma,,Bromma,59.331472160858794,17.947985900458647,Entire home/apt,871,4,161,2024-06-27,1.93,8,118,24,
20603869,Bäst läge Stockholm. Trivsam lägenhet nära allt,33642547,Christina,,Östermalms,59.33992,18.09673,Private room,1700,5,59,2024-06-25,0.71,1,335,3,
20698538,Spacious apartment on Södermalm,148153899,Margareta,,Södermalms,59.30812,18.0757,Entire home/apt,1500,3,60,2024-06-21,0.73,1,40,13,
20738370,Cozy apartment located in Telefonplan,23161050,Michael,,Hägersten-Liljeholmens,59.2943,17.99356,Entire home/apt,,1,6,2019-05-16,0.07,1,0,0,
20780767,Lovely green apartment in Midsommarkransen,22632858,Ida,,Hägersten-Liljeholmens,59.30426,18.01442,Entire home/apt,,2,42,2024-05-19,0.51,1,0,10,
20785606,Radhuset i Smedslätten nära stan,26430972,Carolina,,Bromma,59.319182887265804,17.971817291199468,Entire home/apt,5714,1,4,2024-05-19,0.35,1,333,4,
20855446,Bright and lovely apartment in Stockholm!,3104888,Anette,,Södermalms,59.30363,18.08407,Private room,850,2,38,2024-06-01,0.46,1,1,3,
20909192,"Cosy apartment in Vasastan. 2 rum, Odenplan",114842382,Marina,,Norrmalms,59.34453,18.05194,Entire home/apt,,129,200,2021-12-19,2.42,1,91,0,
20926891,Charming apartment in rebuild school from the 60's,129703943,Haidar,,Skärholmens,59.27248,17.88857,Entire home/apt,,2,2,2017-10-17,0.02,1,0,0,
21053456,"Large, clean room close to nature and the city",118678982,Carl Fredrik,,Skarpnäcks,59.27686,18.12493,Private room,,7,26,2020-09-06,0.32,1,0,0,
21053668,Room in beautiful central flat for females,151671571,Maria,,Kungsholmens,59.33648,18.03001,Private room,,1,3,2023-10-19,0.24,1,0,2,
21193417,Central and cozy apartment in central Stockholm,23341612,Sarah,,Södermalms,59.30943,18.06727,Entire home/apt,,3,17,2020-10-29,0.21,1,0,0,
21221399,Close to the City/Avicii Arena; free parking;,134057704,Anders,,Enskede-Årsta-Vantörs,59.28462,18.08192,Entire home/apt,,3,122,2024-06-14,1.50,1,1,15,
21245552,"Charming early 19 cent. Sodermalm flat, top floor!",153578335,Sofia,,Södermalms,59.31998,18.03791,Entire home/apt,1050,4,9,2021-06-27,0.11,1,8,0,
21263443,Perfectly located in Södermalm,12071088,Luuc,,Södermalms,59.31561,18.02882,Entire home/apt,,2,29,2020-11-15,0.36,1,0,0,
21278549,Amazing apartment close to both city and nature,31675809,Andrea,,Skärholmens,59.29869,17.93851,Entire home/apt,,3,13,2022-08-19,0.16,1,0,0,
21334938,Lovely home in Spånga with kitchen,153911708,Novasol,,Spånga-Tensta,59.38005,17.89545,Entire home/apt,1897,1,0,,,1,194,0,
21381885,Charmigt boende söder om Stockholm,9655744,Filippa,,Skarpnäcks,59.27328,18.13482,Entire home/apt,1300,2,3,2023-08-20,0.27,1,6,3,
21396341,Nice apartment in Hornstull,2637635,Björn,,Södermalms,59.31947,18.03791,Entire home/apt,950,3,4,2021-08-10,0.05,1,37,0,
21417388,Stockholm Multi-unit building,62254528,Ahmed,,Södermalms,59.31544,18.07092,Entire home/apt,,3,54,2024-06-25,0.78,1,91,1,
21439482,Revamped Apartment in 400 Year-Old Building,8547277,Tom,,Södermalms,59.32497,18.07437,Entire home/apt,2099,2,246,2024-05-22,3.03,6,192,12,
21453589,Central 4-bed studio,91705445,Malin,,Norrmalms,59.34244,18.03955,Private room,,2,122,2024-06-02,1.52,1,0,18,
